company_name,job_title,location,num_applicants
Canonical,Software Engineer - Data Infrastructure,"San Francisco, CA",1 week ago
"Williams-Sonoma, Inc.","Senior Manager, Technology - Product Management (Mobile)","San Francisco, CA",2 months ago
Deputy,"Principal Product Manager, Enterprise Segment","San Francisco, CA",1 month ago
GatedTalent - Connecting Top Executive Search Firms And Executives,"Head of Acquiring – Strategy, Partnerships, and Operations (Remote)","San Francisco, CA",2 weeks ago
,,,
myGwork - LGBTQ+ Business Community,Solutions Architect,"San Francisco, CA",3 weeks ago
Envoy,Fullstack Software Engineer,"San Francisco, CA",2 months ago
Aperia Technologies,Electrical Engineer,"San Mateo, CA",1 week ago
Major League Baseball (MLB),Full Stack Software Engineer,"San Francisco, CA",2 months ago
Attentive,"Senior Data Scientist, Machine Learning","San Francisco, CA",2 months ago
Gala,Data Architect,"Greenbrae, CA",2 weeks ago
Databricks,Senior Staff GenAI Research Scientist,"San Francisco, CA",5 days ago
Snowflake,"Senior Manager, Product Management - Snowpark","San Mateo, CA",3 weeks ago
Discord,Staff Software Engineer - Data Platform,"San Francisco, CA",1 month ago
Stripe,"Staff ML Engineer, ML Foundations (Technical Leader)","San Francisco, CA",3 days ago
Databricks,Sr. Engineering Manager - Vector Search,"San Francisco, CA",1 month ago
Databricks,Senior Software Engineer - Infrastructure and Tools,"San Francisco, CA",1 month ago
Cisco,Cisco Meraki - Director of Product Management - AI and Analytics,"San Francisco, CA",2 weeks ago
Enigma Search,"Sr. Scientist, Analytical Development","Alameda County, CA",1 month ago
Sigma Computing,IT Security Engineer Intern (Summer 2024),"San Francisco, CA",1 month ago
Capital One,"Senior Data Scientist, AI Foundations","San Francisco, CA",4 days ago
Agoda,Machine Learning – Staff Engineer,"Oakland, CA",3 weeks ago
Oracle,Product Support Director,"Redwood City, CA",1 week ago
Uber,"Lead Product Manager, Safety","San Francisco, CA",1 month ago
Aperia Technologies,Quality Control Technician - Temp-to-Hire,"Hayward, CA",2 weeks ago
Uber,"Lead Product Manager, Safety","San Francisco, CA",1 month ago
Carbon,Indirect Sourcing Manager,"Redwood City, CA",4 days ago
Oracle,Consulting Member of Technical Staff,"San Francisco, CA",1 week ago
Salesforce,"Director, Software Engineering (Internal Products - Capacity Planning)","San Francisco, CA",1 week ago
Rosendin,Engineer II,"San Francisco, CA",2 weeks ago
Wonderschool,"Sr Product Manager, Government Solutions","San Francisco, CA",1 month ago
SingleStore,"Senior Software Engineer, Database Engine","San Francisco, CA",1 month ago
Agoda,"Lead Data Engineer (Bangkok based, relocation provided)","Oakland, CA",
Oracle,Software Development Manager,"Redwood City, CA",1 week ago
Square,"Staff Product Manager, SaaS Platform","San Francisco, CA",1 month ago
IXL Learning,IXL Product Manager,"San Mateo, CA",1 month ago
Cube,Principal Software Engineer,"San Francisco, CA",5 days ago
Recruiting from Scratch,"Senior Backend Engineer, Startup - Remote","Castro Valley, CA",1 month ago
Recruiting from Scratch,"Senior Backend Engineer, Startup - Remote","Hayward, CA",1 month ago
myGwork - LGBTQ+ Business Community,"Sr. Software Development Engineer, Worldwide Amazon Stores","San Francisco, CA",1 month ago
